#{"t_start": 1701518668.677927, "env_id": "PandaReachJoints-v3"}
r,l,t
-50.0,50,43.368825
-50.0,50,43.509645
-50.0,50,43.649748
-1.0,2,43.656841
-50.0,50,43.799901
-50.0,50,43.951538
0.0,1,43.955372
-50.0,50,44.100597
-50.0,50,44.252125
-50.0,50,44.391341
-9.0,10,44.414589
-50.0,50,44.551454
-50.0,50,44.686546
-50.0,50,45.192768
-50.0,50,45.332814
-50.0,50,45.496222
-50.0,50,45.644142
-50.0,50,45.793262
-50.0,50,45.956065
-50.0,50,46.117831
-50.0,50,46.268169
-50.0,50,46.404469
-8.0,9,46.426565
-50.0,50,46.560479
-13.0,14,46.601903
-50.0,50,47.097128
-50.0,50,47.226832
-25.0,26,47.29597
-50.0,50,47.433143
-13.0,14,47.472512
-50.0,50,47.613201
-50.0,50,47.763562
-50.0,50,47.906431
-50.0,50,48.041411
-50.0,50,48.199154
-50.0,50,48.350244
-50.0,50,48.833376
-50.0,50,48.974271
-50.0,50,49.112355
0.0,1,49.115194
-50.0,50,49.263721
-50.0,50,49.407111
-50.0,50,49.556569
-50.0,50,49.698751
-50.0,50,49.871627
-50.0,50,50.02796
-50.0,50,50.17691
-50.0,50,50.655607
-50.0,50,50.801027
-50.0,50,50.94767
-50.0,50,51.098406
-50.0,50,51.226335
-50.0,50,51.382082
-50.0,50,51.517661
-50.0,50,51.652362
-50.0,50,51.797058
-1.0,2,51.802927
-50.0,50,51.955098
-50.0,50,52.442443
-50.0,50,52.590937
-50.0,50,52.727673
-50.0,50,52.867856
-50.0,50,53.000182
-36.0,37,53.101065
-1.0,2,53.10613
-50.0,50,53.25007
-38.0,39,53.366025
-50.0,50,53.513973
-50.0,50,53.668008
-50.0,50,53.823437
-50.0,50,54.388373
-50.0,50,54.550378
-50.0,50,54.690052
-1.0,2,54.696144
-50.0,50,54.842784
-50.0,50,55.00238
-50.0,50,55.166994
-50.0,50,55.324224
-7.0,8,55.345519
-50.0,50,55.495579
-50.0,50,55.63568
-50.0,50,55.7813
-11.0,12,55.814484
-50.0,50,56.362993
-50.0,50,56.513858
-20.0,21,56.579417
-31.0,32,56.675833
-50.0,50,56.848855
-50.0,50,57.020183
-50.0,50,57.179081
-50.0,50,57.337214
-50.0,50,57.495718
-50.0,50,57.655083
-4.0,5,57.671669
-50.0,50,57.820255
-50.0,50,58.343655
-50.0,50,58.502711
-50.0,50,58.652539
-50.0,50,58.829844
-50.0,50,58.983957
-50.0,50,59.13494
-9.0,10,59.168609
-48.0,49,59.356568
-50.0,50,59.531205
-50.0,50,59.685979
-50.0,50,59.834181
-50.0,50,60.374704
-26.0,27,60.45082
-50.0,50,60.602164
-50.0,50,60.755843
-50.0,50,60.917765
0.0,1,60.922739
-50.0,50,61.092622
-50.0,50,61.250648
-50.0,50,61.433104
-50.0,50,61.618539
-50.0,50,61.786375
-50.0,50,61.970013
-50.0,50,62.526678
-50.0,50,62.688991
-50.0,50,62.847805
-50.0,50,63.018546
-50.0,50,63.194921
-50.0,50,63.35306
-50.0,50,63.540267
-50.0,50,63.741857
-20.0,21,63.808985
-8.0,9,63.837022
-50.0,50,63.985401
-50.0,50,64.49488
-50.0,50,64.654404
-50.0,50,64.812115
-50.0,50,64.966599
-20.0,21,65.027668
-50.0,50,65.175968
-50.0,50,65.351959
-50.0,50,65.539834
-50.0,50,65.728252
-50.0,50,65.909132
-7.0,8,65.931861
-50.0,50,66.089648
-50.0,50,66.612711
-50.0,50,66.756842
-50.0,50,66.910954
-16.0,17,66.960208
-50.0,50,67.124542
-50.0,50,67.284276
-50.0,50,67.442429
-50.0,50,67.602428
-50.0,50,67.784372
-50.0,50,67.961552
-50.0,50,68.127151
-50.0,50,68.651039
-18.0,19,68.717897
-50.0,50,68.914451
