#{"t_start": 1701509713.808813, "env_id": "PandaReach-v3"}
r,l,t
-50.0,50,34.770021
-50.0,50,35.177899
-50.0,50,35.302141
-50.0,50,35.432054
-50.0,50,35.557654
-50.0,50,35.677361
-50.0,50,35.803046
-4.0,5,35.814636
-50.0,50,35.935682
-50.0,50,36.065274
-11.0,12,36.096026
-50.0,50,36.219551
-4.0,5,36.232752
-50.0,50,36.351237
-50.0,50,36.751401
-50.0,50,36.884801
-50.0,50,37.004019
-2.0,3,37.011727
-50.0,50,37.136508
-50.0,50,37.259001
-50.0,50,37.383703
-5.0,6,37.399724
-50.0,50,37.524315
-50.0,50,37.65761
-50.0,50,37.784974
-7.0,8,37.803726
-50.0,50,37.92883
-2.0,3,37.935919
-50.0,50,38.339732
-50.0,50,38.463917
-50.0,50,38.585519
-50.0,50,38.709947
-50.0,50,38.83457
-48.0,49,38.964073
-50.0,50,39.083163
-50.0,50,39.205034
-50.0,50,39.336498
-3.0,4,39.345978
-50.0,50,39.468662
-50.0,50,39.880523
-50.0,50,40.015817
-50.0,50,40.150764
-50.0,50,40.278774
-50.0,50,40.408634
-2.0,3,40.415612
-50.0,50,40.539944
-50.0,50,40.666116
-50.0,50,40.795051
-50.0,50,40.926597
-50.0,50,41.051423
-50.0,50,41.471713
-50.0,50,41.609022
-50.0,50,41.734777
-50.0,50,41.854977
-50.0,50,41.976637
-50.0,50,42.104995
-50.0,50,42.225604
-50.0,50,42.348083
-50.0,50,42.471197
-50.0,50,42.596754
-50.0,50,43.007085
-50.0,50,43.124645
-50.0,50,43.251132
-50.0,50,43.366942
-50.0,50,43.494663
-50.0,50,43.618721
-50.0,50,43.74475
-33.0,34,43.834406
-50.0,50,43.955267
-50.0,50,44.078414
-50.0,50,44.210128
0.0,1,44.212831
-50.0,50,44.627188
-50.0,50,44.745626
-50.0,50,44.868103
-50.0,50,44.987241
-50.0,50,45.112114
-50.0,50,45.23331
-50.0,50,45.353348
-50.0,50,45.466364
-50.0,50,45.594548
-50.0,50,45.717423
-1.0,2,45.722415
-22.0,23,45.783833
-50.0,50,46.197933
-50.0,50,46.323382
-50.0,50,46.451286
-50.0,50,46.585573
-50.0,50,46.717102
-50.0,50,46.84321
-50.0,50,46.974286
-50.0,50,47.111304
-50.0,50,47.242336
-50.0,50,47.367274
-50.0,50,47.781005
-50.0,50,47.902462
-4.0,5,47.916603
-50.0,50,48.035916
-50.0,50,48.158923
-50.0,50,48.275981
-50.0,50,48.395954
-1.0,2,48.400638
-50.0,50,48.520277
-50.0,50,48.648413
-29.0,30,48.721379
-50.0,50,48.840087
-50.0,50,49.255756
-50.0,50,49.380161
-50.0,50,49.500831
-2.0,3,49.507878
-50.0,50,49.636472
-50.0,50,49.757507
-50.0,50,49.885925
-50.0,50,50.014297
-50.0,50,50.144686
-50.0,50,50.270726
-50.0,50,50.400027
-50.0,50,50.526509
-50.0,50,50.93411
-50.0,50,51.055936
-50.0,50,51.180114
-50.0,50,51.298465
-17.0,18,51.347088
-50.0,50,51.471403
-50.0,50,51.592377
-50.0,50,51.720729
-50.0,50,51.844332
-50.0,50,51.970245
-50.0,50,52.088735
-50.0,50,52.505871
-1.0,2,52.511541
0.0,1,52.514015
-50.0,50,52.638441
-50.0,50,52.769155
-50.0,50,52.886691
-50.0,50,53.013623
-50.0,50,53.135346
-50.0,50,53.266762
-50.0,50,53.387374
-25.0,26,53.451728
-50.0,50,53.570154
-50.0,50,53.982399
-50.0,50,54.106057
-50.0,50,54.226482
-50.0,50,54.344409
-50.0,50,54.468653
-50.0,50,54.586433
-50.0,50,54.711694
-50.0,50,54.829065
-50.0,50,54.951982
-50.0,50,55.072648
-50.0,50,55.475655
-2.0,3,55.482937
-50.0,50,55.60582
0.0,1,55.608612
-50.0,50,55.73619
-50.0,50,55.874523
-50.0,50,56.00323
-50.0,50,56.126975
-50.0,50,56.242072
-50.0,50,56.366642
-12.0,13,56.398993
-5.0,6,56.412438
-50.0,50,56.532613
-11.0,12,56.560549
-50.0,50,56.685431
-50.0,50,57.091835
-50.0,50,57.216377
-50.0,50,57.338657
-50.0,50,57.462524
-50.0,50,57.589518
-50.0,50,57.709747
-50.0,50,57.832975
-50.0,50,57.956188
-50.0,50,58.081224
-50.0,50,58.208222
-50.0,50,58.631941
-50.0,50,58.75701
-50.0,50,58.882228
-50.0,50,59.007894
-50.0,50,59.132404
-50.0,50,59.256191
-50.0,50,59.384657
-29.0,30,59.464343
-50.0,50,59.587049
-6.0,7,59.606216
-50.0,50,59.738187
-50.0,50,59.873034
-50.0,50,60.289175
-50.0,50,60.417336
-50.0,50,60.538627
-50.0,50,60.661053
-50.0,50,60.786342
-50.0,50,60.911395
-50.0,50,61.03314
0.0,1,61.03594
-50.0,50,61.16139
-50.0,50,61.284538
-50.0,50,61.407023
-50.0,50,61.824278
-50.0,50,61.944858
-50.0,50,62.070336
-50.0,50,62.206587
-50.0,50,62.328768
-50.0,50,62.459459
-50.0,50,62.581496
-50.0,50,62.706523
-50.0,50,62.826872
-50.0,50,62.956543
-50.0,50,63.360974
-17.0,18,63.403833
-50.0,50,63.521371
-4.0,5,63.532254
-50.0,50,63.656933
-50.0,50,63.778495
-50.0,50,63.898845
-50.0,50,64.021587
-50.0,50,64.14817
-50.0,50,64.267999
-50.0,50,64.402745
-50.0,50,64.522655
-50.0,50,64.930352
0.0,1,64.93335
-50.0,50,65.050889
-50.0,50,65.170612
-50.0,50,65.293351
-50.0,50,65.416517
-50.0,50,65.530895
-50.0,50,65.654402
-50.0,50,65.769225
-50.0,50,65.898012
-50.0,50,66.021991
-50.0,50,66.437526
-50.0,50,66.554758
-11.0,12,66.585723
-50.0,50,66.712497
-1.0,2,66.717324
-50.0,50,66.839336
-6.0,7,66.855657
-50.0,50,66.977751
-50.0,50,67.092444
-50.0,50,67.217987
-50.0,50,67.335925
-50.0,50,67.453197
-1.0,2,67.458375
-50.0,50,67.572627
-50.0,50,67.9817
-47.0,48,68.097226
-50.0,50,68.220765
-50.0,50,68.345171
-50.0,50,68.46731
-50.0,50,68.585145
-50.0,50,68.709199
-50.0,50,68.830969
-50.0,50,68.953629
-50.0,50,69.069204
-50.0,50,69.479062
-50.0,50,69.597248
-50.0,50,69.73086
0.0,1,69.733697
-50.0,50,69.85586
-50.0,50,69.98762
-50.0,50,70.123137
-50.0,50,70.247136
-50.0,50,70.371355
-50.0,50,70.487422
-50.0,50,70.607751
-50.0,50,71.010208
-1.0,2,71.015314
-50.0,50,71.138036
-4.0,5,71.152895
-50.0,50,71.273094
-50.0,50,71.389824
-50.0,50,71.506689
-50.0,50,71.629179
-50.0,50,71.753209
-50.0,50,71.876087
-50.0,50,71.997289
-50.0,50,72.126032
-50.0,50,72.248334
-50.0,50,72.654186
-50.0,50,72.771801
-50.0,50,72.897118
-12.0,13,72.928471
-2.0,3,72.935589
-50.0,50,73.053302
0.0,1,73.056114
-50.0,50,73.172675
-50.0,50,73.294057
-50.0,50,73.407674
-50.0,50,73.530319
-50.0,50,73.657208
-6.0,7,73.676175
-50.0,50,74.073617
-50.0,50,74.197804
-50.0,50,74.310808
-50.0,50,74.441618
-50.0,50,74.5596
-50.0,50,74.682664
-50.0,50,74.802842
-50.0,50,74.924037
-50.0,50,75.046263
-50.0,50,75.169047
-50.0,50,75.293303
-50.0,50,75.698584
-50.0,50,75.821397
-50.0,50,75.944774
-50.0,50,76.065403
-50.0,50,76.184179
-50.0,50,76.301134
-50.0,50,76.419948
-50.0,50,76.545666
-7.0,8,76.564873
-50.0,50,76.687856
-50.0,50,76.807257
-50.0,50,77.202276
-50.0,50,77.326568
-50.0,50,77.441903
-50.0,50,77.567825
-50.0,50,77.695667
-50.0,50,77.81348
-50.0,50,77.928466
-50.0,50,78.042572
-50.0,50,78.158787
-50.0,50,78.286325
-50.0,50,78.677963
-50.0,50,78.800381
-7.0,8,78.818454
-50.0,50,78.938058
-50.0,50,79.063394
-50.0,50,79.192796
-4.0,5,79.204015
-42.0,43,79.3069
-4.0,5,79.319185
-50.0,50,79.443115
-50.0,50,79.555509
-50.0,50,79.676593
-50.0,50,79.794709
-50.0,50,80.192155
-50.0,50,80.307811
-2.0,3,80.314982
-50.0,50,80.434291
-50.0,50,80.554305
-50.0,50,80.673196
-50.0,50,80.796135
-50.0,50,80.92315
-50.0,50,81.044471
-8.0,9,81.068848
-3.0,4,81.07776
-50.0,50,81.194467
-50.0,50,81.315638
-50.0,50,81.730006
-50.0,50,81.85282
-50.0,50,81.969929
-50.0,50,82.082573
-50.0,50,82.207403
-50.0,50,82.338194
-50.0,50,82.459172
-50.0,50,82.583975
-50.0,50,82.701391
-50.0,50,82.830698
-50.0,50,83.228487
-50.0,50,83.344598
-50.0,50,83.460793
-50.0,50,83.581594
-50.0,50,83.712037
-50.0,50,83.833879
-50.0,50,83.962451
-50.0,50,84.083297
-50.0,50,84.198524
-50.0,50,84.317628
-50.0,50,84.714944
-50.0,50,84.838479
-9.0,10,84.862499
-23.0,24,84.920346
-50.0,50,85.041716
-50.0,50,85.164368
-1.0,2,85.169161
-50.0,50,85.290854
-50.0,50,85.407089
-50.0,50,85.522923
-50.0,50,85.638811
-50.0,50,85.758473
-50.0,50,85.881088
-50.0,50,86.272257
-50.0,50,86.395226
-50.0,50,86.517888
-50.0,50,86.639311
-50.0,50,86.755493
-50.0,50,86.886748
-50.0,50,87.001354
-50.0,50,87.123944
-50.0,50,87.23655
-50.0,50,87.352968
-11.0,12,87.380179
-50.0,50,87.77616
-50.0,50,87.894604
-50.0,50,88.010629
-50.0,50,88.125727
-50.0,50,88.245262
-50.0,50,88.36579
-50.0,50,88.483987
-50.0,50,88.597112
-50.0,50,88.732763
-50.0,50,88.862884
-50.0,50,89.26388
-50.0,50,89.381213
-50.0,50,89.503036
-50.0,50,89.613014
-50.0,50,89.744638
-50.0,50,89.86688
-50.0,50,89.98708
-50.0,50,90.103562
-50.0,50,90.231958
-50.0,50,90.355777
-50.0,50,90.751288
-50.0,50,90.880307
-50.0,50,90.995984
-50.0,50,91.108274
-3.0,4,91.11907
-50.0,50,91.232151
-50.0,50,91.349771
-50.0,50,91.46102
-50.0,50,91.578336
-50.0,50,91.693066
0.0,1,91.695922
0.0,1,91.698357
-50.0,50,91.820437
-5.0,6,91.834848
-50.0,50,92.225075
-50.0,50,92.345658
-50.0,50,92.463978
-3.0,4,92.474877
-50.0,50,92.591369
-50.0,50,92.709124
-50.0,50,92.833235
-1.0,2,92.838066
-50.0,50,92.963495
-50.0,50,93.080962
-50.0,50,93.199771
-50.0,50,93.316431
-50.0,50,93.725152
-50.0,50,93.845031
-50.0,50,93.963007
-3.0,4,93.972221
-50.0,50,94.088885
-50.0,50,94.20724
-50.0,50,94.328078
-50.0,50,94.453636
-50.0,50,94.569216
-50.0,50,94.693372
-1.0,2,94.698699
-50.0,50,94.820999
-50.0,50,94.943179
-50.0,50,95.338189
0.0,1,95.340894
-50.0,50,95.462477
-50.0,50,95.581035
-10.0,11,95.605403
-50.0,50,95.726521
-50.0,50,95.850139
-6.0,7,95.86834
-4.0,5,95.879292
-50.0,50,96.002933
-50.0,50,96.126392
-14.0,15,96.166202
-50.0,50,96.286537
-50.0,50,96.409416
-50.0,50,96.800862
-2.0,3,96.808253
-4.0,5,96.818894
-50.0,50,96.943926
-50.0,50,97.06382
-50.0,50,97.182611
-50.0,50,97.30028
-50.0,50,97.419721
-50.0,50,97.543241
-50.0,50,97.66992
-50.0,50,97.788388
-50.0,50,97.91025
-11.0,12,97.940359
-50.0,50,98.332832
-50.0,50,98.453135
-50.0,50,98.567698
-50.0,50,98.685996
-50.0,50,98.803395
-50.0,50,98.928166
-2.0,3,98.935299
-50.0,50,99.057175
-50.0,50,99.174861
-50.0,50,99.288463
-50.0,50,99.408974
-50.0,50,99.806004
-50.0,50,99.927229
-50.0,50,100.04128
-50.0,50,100.161317
-50.0,50,100.28893
-6.0,7,100.306665
0.0,1,100.309067
-5.0,6,100.322616
-50.0,50,100.442952
-50.0,50,100.558716
-50.0,50,100.681379
-50.0,50,100.806607
-50.0,50,100.926954
-50.0,50,101.329369
-50.0,50,101.442611
-50.0,50,101.569387
0.0,1,101.572269
-50.0,50,101.700302
-50.0,50,101.825366
-50.0,50,101.945282
-50.0,50,102.071857
-50.0,50,102.187928
-18.0,19,102.231302
-50.0,50,102.350991
-50.0,50,102.468462
-50.0,50,102.869875
-50.0,50,102.994506
-50.0,50,103.117356
-50.0,50,103.240295
-5.0,6,103.256466
-23.0,24,103.314303
-1.0,2,103.318916
0.0,1,103.321369
-50.0,50,103.441798
-50.0,50,103.559312
-50.0,50,103.686322
-50.0,50,103.807664
-50.0,50,103.935998
-50.0,50,104.329324
-50.0,50,104.448857
-50.0,50,104.568638
-50.0,50,104.688802
-50.0,50,104.807155
-50.0,50,104.923178
-50.0,50,105.039895
-50.0,50,105.170854
-50.0,50,105.288253
-50.0,50,105.408217
-50.0,50,105.523931
-50.0,50,105.928401
-3.0,4,105.93716
-50.0,50,106.056847
-50.0,50,106.174019
-50.0,50,106.293271
-50.0,50,106.420429
-50.0,50,106.532435
-50.0,50,106.649049
-50.0,50,106.760866
-50.0,50,106.884268
-50.0,50,107.003984
-50.0,50,107.402804
-50.0,50,107.516809
-50.0,50,107.634617
-5.0,6,107.648724
-50.0,50,107.765752
-3.0,4,107.774539
-50.0,50,107.896454
-50.0,50,108.020465
-50.0,50,108.138028
-50.0,50,108.261288
-1.0,2,108.266415
-50.0,50,108.384106
-50.0,50,108.505194
-50.0,50,108.916975
-39.0,40,109.01636
-50.0,50,109.134218
-50.0,50,109.251203
-50.0,50,109.371952
-50.0,50,109.498113
-50.0,50,109.618623
-50.0,50,109.744621
-50.0,50,109.865341
-50.0,50,109.985902
-50.0,50,110.389959
-50.0,50,110.51127
-50.0,50,110.631934
-50.0,50,110.747983
-50.0,50,110.87539
-50.0,50,111.004674
-50.0,50,111.128497
-50.0,50,111.242774
-50.0,50,111.35925
-50.0,50,111.472545
-50.0,50,111.871217
-50.0,50,111.982704
-50.0,50,112.104779
-50.0,50,112.22084
-50.0,50,112.338699
-50.0,50,112.454998
-1.0,2,112.460046
-1.0,2,112.467119
-50.0,50,112.583599
-4.0,5,112.594479
-50.0,50,112.708707
-50.0,50,112.826352
-50.0,50,112.949255
-50.0,50,113.074281
-50.0,50,113.469971
-50.0,50,113.585664
-50.0,50,113.702036
-50.0,50,113.817185
-50.0,50,113.935102
-50.0,50,114.054479
-14.0,15,114.091395
-50.0,50,114.212523
-50.0,50,114.325631
-1.0,2,114.33191
-4.0,5,114.344262
0.0,1,114.347136
-50.0,50,114.469692
-50.0,50,114.867032
-50.0,50,114.984987
