#{"t_start": 1701518724.9564555, "env_id": "PandaReachDense-v3"}
r,l,t
-8.138592,50,43.390071
-8.157247,50,43.5502
-0.208853,4,43.56315
-9.372393,50,43.715409
-6.325861,50,43.880532
-0.152822,2,43.896943
-8.067108,50,44.05419
-8.222722,50,44.220719
-11.178995,50,44.405541
-1.070591,13,44.451275
-0.961321,9,44.480937
-0.415381,4,44.494612
-1.312583,10,44.535326
-1.989769,19,45.016191
-0.176,3,45.026433
-8.269441,48,45.175195
-0.600761,5,45.194299
-3.384695,29,45.288533
-6.847292,50,45.460825
-8.312448,50,45.61925
-8.214698,50,45.781373
-0.945864,8,45.806741
-8.102298,50,45.963153
-1.980608,20,46.036706
-10.589364,50,46.207006
-0.559152,5,46.221467
-1.027632,13,46.26475
-0.546151,6,46.283604
-2.141121,22,46.360079
-1.268796,9,46.394722
-7.985391,50,46.59544
-2.208166,19,46.672194
-6.856882,50,47.254293
-6.782399,50,47.427093
-0.456687,5,47.444644
-8.575755,50,47.611224
-0.749277,6,47.628627
-1.617103,11,47.672382
-3.122452,21,47.748651
-5.495359,50,47.933737
-0.957315,8,47.965983
-7.648829,50,48.145701
-8.678522,50,48.300897
-5.801024,50,48.479942
-8.499489,50,48.661308
-6.525094,50,48.840565
-6.335421,50,49.399922
-0.114678,2,49.405704
-7.563086,50,49.583564
-13.149686,50,49.736123
-7.619835,50,49.88946
-2.372371,20,49.961524
-9.012342,50,50.125942
-9.938174,50,50.281181
-1.4629,15,50.327978
-3.658217,36,50.454172
-0.36733,5,50.468719
-7.338926,50,50.669724
-1.257786,11,50.708564
-9.631869,50,50.888154
-0.794606,7,50.909588
-0.017733,1,50.914059
-8.464421,50,51.486393
-9.591514,50,51.638956
-3.67499,37,51.758367
-2.703603,23,51.847846
-2.686322,22,51.926739
-2.034923,22,52.007409
-4.350708,29,52.09415
-7.177646,50,52.272383
-6.62933,47,52.426728
-4.430567,38,52.562401
-0.257104,3,52.575824
-7.220527,50,52.7589
-0.152879,3,52.769912
-1.926421,16,52.830737
-1.43565,10,52.86663
-1.404088,13,52.913739
-0.90049,7,52.943005
-2.194935,24,53.028532
-7.593619,50,53.202034
-5.704011,47,53.779485
-2.353254,17,53.829606
-0.853858,9,53.865001
-1.851715,18,53.933501
-3.306811,21,54.004619
-11.722621,50,54.16086
-10.43341,50,54.330046
-2.740752,21,54.400387
-1.138622,9,54.430489
-5.96255,50,54.631378
-9.949965,50,54.81463
-2.529037,23,54.888194
-7.635261,50,55.039911
-3.068751,31,55.139372
-0.972997,7,55.157144
-6.056823,50,55.311451
-1.527968,14,55.359363
-0.094296,2,55.74299
-1.01339,9,55.776327
-0.924738,8,55.802806
-7.846291,50,55.966538
-7.770224,50,56.120649
-0.586687,5,56.134929
-1.122583,11,56.174804
-1.350024,12,56.21278
-0.660035,6,56.235979
-2.546068,27,56.332066
-3.306029,26,56.427706
-0.232641,3,56.449381
-1.193631,12,56.503138
-6.122589,50,56.716436
-0.068375,2,56.723661
-3.498658,27,56.821671
-5.536731,50,56.989581
-8.450402,50,57.133438
-0.186952,3,57.143077
-9.716756,50,57.311244
-0.410508,5,57.324634
-0.2861,3,57.333018
-7.351591,50,57.483603
-2.621696,27,57.93845
-10.253021,50,58.082862
-2.981443,21,58.14934
-1.163708,10,58.18053
-0.968524,8,58.207931
-0.8664,9,58.243138
-0.379145,5,58.256825
-4.183578,36,58.373202
-0.654023,7,58.393635
-2.149293,16,58.440836
-7.407578,50,58.628684
-5.959552,50,58.815621
-4.138745,27,58.897451
-1.464066,16,58.948072
-2.472199,22,59.014686
-6.417156,45,59.156767
-0.782003,9,59.183066
-7.055978,50,59.337027
-10.544283,50,59.494627
-1.465836,13,59.95837
-0.429526,5,59.972882
-5.63779,38,60.092102
-9.354345,50,60.245074
-6.095702,50,60.409547
-2.763765,22,60.484201
-0.115781,2,60.49207
-0.11079,2,60.499759
-0.271773,4,60.516127
-5.094785,38,60.663727
-1.127119,13,60.720959
-0.266615,3,60.73293
-0.515134,4,60.751699
-0.684112,7,60.790561
-1.462652,13,60.83542
-0.808642,9,60.872689
-4.20523,32,60.9748
-0.86122,8,61.001512
-3.076204,25,61.081868
-1.383463,11,61.113682
-1.871001,18,61.17019
-3.52095,25,61.259084
-0.729621,7,61.282399
-2.231641,15,61.335169
-0.52157,5,61.350435
-4.370626,34,61.461958
-1.417356,11,61.496446
-1.370642,12,61.537257
-0.601555,6,61.55383
-6.803859,50,62.127362
-2.553211,22,62.206941
-1.01202,11,62.236244
-0.044496,1,62.239455
-9.44345,50,62.407809
-0.635598,7,62.428399
-2.058598,18,62.486691
-0.962493,8,62.509104
-0.197495,3,62.521988
-1.989388,13,62.562021
-2.9309,18,62.631921
-0.269969,4,62.646612
-6.125651,50,62.834356
-0.405558,6,62.856125
-3.103484,21,62.93842
-6.012886,42,63.071457
-1.072084,13,63.115111
-3.028073,34,63.229719
-9.032497,50,63.382307
-1.116548,11,63.424865
-0.232235,4,63.435001
-0.292027,4,63.446704
-2.673358,24,63.52881
-4.218592,29,63.622081
-5.196905,45,63.767285
-0.361748,6,63.785436
-6.005236,47,64.34357
-0.697969,8,64.366612
-5.375069,49,64.580144
-7.30137,38,64.693208
-3.064567,27,64.800548
-2.473229,23,64.892163
-0.675661,8,64.921984
-5.701178,44,65.088871
-0.405335,4,65.102992
-0.126717,2,65.109655
-1.128278,10,65.138745
-0.046182,1,65.141958
-0.252858,3,65.151913
-0.114082,2,65.158086
-6.112473,50,65.351208
-1.127185,12,65.394354
-5.023813,50,65.550449
-0.62729,5,65.567102
-1.603594,10,65.602637
-1.279,14,65.649049
-1.139955,11,65.682682
-1.197623,9,65.723764
-5.055098,50,65.898999
-3.070012,25,65.983664
